,Label,no_subject,no_text,is_html,http_count
0,Ham,False,False,False,1
1,Ham,False,False,False,1
2,Ham,False,False,False,1
3,Ham,False,False,False,1
4,Ham,False,False,False,1
5,Ham,False,False,False,3
6,Ham,False,False,False,6
7,Ham,False,False,False,0
8,Ham,False,False,False,2
9,Ham,False,False,False,1
10,Ham,False,False,False,0
11,Ham,False,False,False,2
12,Ham,False,False,False,1
13,Ham,False,False,False,1
14,Ham,False,False,False,0
15,Ham,False,False,False,3
16,Ham,False,False,False,2
17,Ham,False,False,False,1
18,Ham,False,False,False,4
19,Ham,False,False,False,1
20,Ham,False,False,False,5
21,Ham,False,False,False,2
22,Ham,False,False,False,2
23,Ham,False,False,False,3
24,Ham,False,False,False,2
25,Ham,False,False,False,0
26,Ham,False,False,False,2
27,Ham,False,False,False,2
28,Ham,False,False,False,0
29,Ham,False,False,False,1
30,Ham,False,False,False,2
31,Ham,False,False,False,0
32,Ham,False,False,False,1
33,Ham,False,False,False,1
34,Ham,False,False,False,1
35,Ham,False,False,False,4
36,Ham,False,False,False,0
37,Ham,False,False,False,1
38,Ham,False,False,False,1
39,Ham,False,False,False,2
40,Ham,False,False,False,0
41,Ham,False,False,False,2
42,Ham,False,False,False,3
43,Ham,False,False,False,1
44,Ham,False,False,False,1
45,Ham,False,False,False,1
46,Ham,False,False,False,0
47,Ham,False,False,False,2
48,Ham,False,False,False,5
49,Ham,False,False,False,2
50,Ham,False,False,False,1
51,Ham,False,False,False,1
52,Ham,False,False,False,1
53,Ham,False,False,False,3
54,Ham,False,False,False,1
55,Ham,False,False,False,2
56,Ham,False,False,False,0
57,Ham,False,False,False,0
58,Ham,False,False,False,0
59,Ham,False,False,False,0
60,Ham,False,False,False,0
61,Ham,False,False,False,1
62,Ham,False,False,False,5
63,Ham,False,False,False,4
64,Ham,False,False,False,1
65,Ham,False,False,False,2
66,Ham,False,False,False,0
67,Ham,False,False,False,0
68,Ham,False,False,False,1
69,Ham,False,False,False,0
70,Ham,False,False,False,1
71,Ham,False,False,False,1
72,Ham,False,False,False,1
73,Ham,False,False,False,4
74,Ham,False,False,False,4
75,Ham,False,False,False,1
76,Ham,False,False,False,0
77,Ham,False,False,False,1
78,Ham,False,False,False,3
79,Ham,False,False,False,2
80,Ham,False,False,False,1
81,Ham,False,False,False,1
82,Ham,False,False,False,2
83,Ham,False,False,False,0
84,Ham,False,False,False,1
85,Ham,False,False,False,1
86,Ham,False,False,False,2
87,Ham,False,False,False,1
88,Ham,False,False,False,4
89,Ham,False,False,False,1
90,Ham,False,False,False,2
91,Ham,False,False,False,6
92,Ham,False,False,False,1
93,Ham,False,False,False,6
94,Ham,False,False,False,1
95,Ham,False,False,False,0
96,Ham,False,False,False,1
97,Ham,False,False,False,2
98,Ham,False,False,False,3
99,Ham,False,False,False,7
100,Ham,False,False,False,0
101,Ham,False,False,False,4
102,Ham,False,False,False,1
103,Ham,False,False,False,3
104,Ham,False,False,False,1
105,Ham,False,False,False,1
106,Ham,False,False,False,2
107,Ham,False,False,False,1
108,Ham,False,False,False,1
109,Ham,False,False,False,1
110,Ham,False,False,False,1
111,Ham,False,False,False,1
112,Ham,False,False,False,2
113,Ham,False,False,False,1
114,Ham,False,False,False,3
115,Ham,False,False,False,2
116,Ham,False,False,False,1
117,Ham,False,False,False,3
118,Ham,False,False,False,1
119,Ham,False,False,False,3
120,Ham,False,False,False,1
121,Ham,False,False,False,1
122,Ham,False,False,False,2
123,Ham,False,False,False,3
124,Ham,False,False,False,1
125,Ham,False,False,False,3
126,Ham,False,False,False,1
127,Ham,False,False,False,3
128,Ham,False,False,False,2
129,Ham,False,False,False,2
130,Ham,False,False,False,2
131,Ham,False,False,False,2
132,Ham,False,False,False,4
133,Ham,False,False,False,1
134,Ham,False,False,False,2
135,Ham,False,False,False,8
136,Ham,False,False,False,5
137,Ham,False,False,False,0
138,Ham,False,False,False,1
139,Ham,False,False,False,4
140,Ham,False,False,False,2
141,Ham,False,False,False,3
142,Ham,False,False,False,3
143,Ham,False,False,False,0
144,Ham,False,False,False,1
145,Ham,False,False,False,1
146,Ham,False,False,False,1
147,Ham,False,False,False,4
148,Ham,False,False,False,2
149,Ham,False,False,False,0
150,Ham,False,False,False,5
151,Ham,False,False,False,1
152,Ham,False,False,False,1
153,Ham,False,False,False,2
154,Ham,False,False,False,3
155,Ham,False,False,False,3
156,Ham,False,False,False,3
157,Ham,False,False,False,1
158,Ham,False,False,False,1
159,Ham,False,False,False,0
160,Ham,False,False,False,2
161,Ham,False,False,False,3
162,Ham,False,False,False,2
163,Ham,False,False,False,1
164,Ham,False,False,False,0
165,Ham,False,False,False,2
166,Ham,False,False,False,2
167,Ham,False,False,False,3
168,Ham,False,False,False,1
169,Ham,False,False,False,2
170,Ham,False,False,False,2
171,Ham,False,False,False,5
172,Ham,False,False,False,3
173,Ham,False,False,False,0
174,Ham,False,False,False,4
175,Ham,False,False,False,2
176,Ham,False,False,False,2
177,Ham,False,False,False,0
178,Ham,False,False,False,0
179,Ham,False,False,False,3
180,Ham,False,False,False,2
181,Ham,False,False,False,1
182,Ham,False,False,False,3
183,Ham,False,False,False,3
184,Ham,False,False,False,2
185,Ham,False,False,False,0
186,Ham,False,False,False,1
187,Ham,False,False,False,1
188,Ham,False,False,False,1
189,Ham,False,False,False,1
190,Ham,False,False,False,6
191,Ham,False,False,False,0
192,Ham,False,False,False,0
193,Ham,False,False,False,1
194,Ham,False,False,False,1
195,Ham,False,False,False,2
196,Ham,False,False,False,0
197,Ham,False,False,False,1
198,Ham,False,False,False,1
199,Ham,False,False,False,3
200,Ham,False,False,False,1
201,Ham,False,False,False,1
202,Ham,False,False,False,0
203,Ham,False,False,False,2
204,Ham,False,False,False,0
205,Ham,False,False,False,5
206,Ham,False,False,False,1
207,Ham,False,False,False,2
208,Ham,False,False,False,4
209,Ham,False,False,False,1
210,Ham,False,False,False,1
211,Ham,False,False,False,0
212,Ham,False,False,False,0
213,Ham,False,False,False,1
214,Ham,False,False,False,3
215,Ham,False,False,False,1
216,Ham,False,False,False,2
217,Ham,False,False,False,1
218,Ham,False,False,False,0
219,Ham,False,False,False,1
220,Ham,False,False,False,1
221,Ham,False,False,False,2
222,Ham,False,False,False,1
223,Ham,False,False,False,1
224,Ham,False,False,False,1
225,Ham,False,False,False,1
226,Ham,False,False,False,0
227,Ham,False,False,False,2
228,Ham,False,False,False,0
229,Ham,False,False,False,0
230,Ham,False,False,False,0
231,Ham,False,False,False,1
232,Ham,False,False,False,3
233,Ham,False,False,False,0
234,Ham,False,False,False,1
235,Ham,False,False,False,0
236,Ham,False,False,False,0
237,Ham,False,False,False,2
238,Ham,False,False,False,3
239,Ham,False,False,False,1
240,Ham,False,False,False,0
241,Ham,False,False,False,2
242,Ham,False,False,False,0
243,Ham,False,False,False,9
244,Ham,False,False,False,4
245,Ham,False,False,False,1
246,Ham,False,False,False,1
247,Ham,False,False,False,2
248,Ham,False,False,False,1
249,Ham,False,False,False,1
250,Ham,False,False,False,1
251,Ham,False,False,False,2
252,Ham,False,False,False,1
253,Ham,False,False,False,3
254,Ham,False,False,False,6
255,Ham,False,False,False,1
256,Ham,False,False,False,0
257,Ham,False,False,False,2
258,Ham,False,False,False,1
259,Ham,False,False,False,2
260,Ham,False,False,False,2
261,Ham,False,False,False,1
262,Ham,False,False,False,1
263,Ham,False,False,False,1
264,Ham,False,False,False,1
265,Ham,False,False,False,1
266,Ham,False,False,False,0
267,Ham,False,False,False,1
268,Ham,False,False,False,0
269,Ham,False,False,False,2
270,Ham,False,False,False,0
271,Ham,False,False,False,3
272,Ham,False,False,False,0
273,Ham,False,False,False,2
274,Ham,False,False,False,1
275,Ham,False,False,False,1
276,Ham,False,False,False,0
277,Ham,False,False,False,3
278,Ham,False,False,False,2
279,Ham,False,False,False,1
280,Ham,False,False,False,1
281,Ham,False,False,False,0
282,Ham,False,False,False,0
283,Ham,False,False,False,1
284,Ham,False,False,False,1
285,Ham,False,False,False,3
286,Ham,False,False,False,1
287,Ham,False,False,False,3
288,Ham,False,False,False,4
289,Ham,False,False,False,0
290,Ham,False,False,False,4
291,Ham,False,False,False,2
292,Ham,False,False,False,2
293,Ham,False,False,False,1
294,Ham,False,False,False,1
295,Ham,False,False,False,0
296,Ham,False,False,False,0
297,Ham,False,False,False,1
298,Ham,False,False,False,3
299,Ham,False,False,False,1
300,Ham,False,False,False,1
301,Ham,False,False,False,2
302,Ham,False,False,False,2
303,Ham,False,False,False,2
304,Ham,False,False,False,1
305,Ham,True,False,False,0
306,Ham,False,False,False,3
307,Ham,False,False,False,1
308,Ham,True,False,False,0
309,Ham,False,False,False,1
310,Ham,False,False,False,0
311,Ham,False,False,False,1
312,Ham,False,False,False,5
313,Ham,False,False,False,3
314,Ham,False,False,False,1
315,Ham,False,False,False,1
316,Ham,False,False,False,2
317,Ham,False,False,False,4
318,Ham,False,False,False,2
319,Ham,False,False,False,0
320,Ham,False,False,False,1
321,Ham,False,False,False,2
322,Ham,False,False,False,0
323,Ham,False,False,False,0
324,Ham,False,False,False,2
325,Ham,False,False,False,0
326,Ham,False,False,False,3
327,Ham,False,False,False,1
328,Ham,False,False,False,0
329,Ham,False,False,False,2
330,Ham,False,False,False,1
331,Ham,False,False,False,1
332,Ham,False,False,False,5
333,Ham,False,False,False,1
334,Ham,False,False,False,1
335,Ham,False,False,False,3
336,Ham,False,False,False,0
337,Ham,False,False,False,3
338,Ham,False,False,False,2
339,Ham,False,False,False,1
340,Ham,False,False,False,0
341,Ham,False,False,False,1
342,Ham,False,False,False,0
343,Ham,False,False,False,0
344,Ham,False,False,False,0
345,Ham,False,False,False,0
346,Ham,False,False,False,3
347,Ham,False,False,False,1
348,Ham,False,False,False,2
349,Ham,False,False,False,2
350,Ham,False,False,False,1
351,Ham,False,False,False,3
352,Ham,False,False,False,0
353,Ham,False,False,False,2
354,Ham,False,False,False,1
355,Ham,False,False,False,1
356,Ham,False,False,False,1
357,Ham,False,False,False,1
358,Ham,False,False,False,0
359,Ham,False,False,False,1
360,Ham,False,False,False,1
361,Ham,False,False,False,0
362,Ham,False,False,False,3
363,Ham,False,False,False,3
364,Ham,False,False,False,2
365,Ham,False,False,False,0
366,Ham,False,False,False,1
367,Ham,False,False,False,2
368,Ham,False,False,False,2
369,Ham,False,False,False,1
370,Ham,False,False,False,2
371,Ham,False,False,False,0
372,Ham,False,False,False,1
373,Ham,False,False,False,1
374,Ham,False,False,False,0
375,Ham,False,False,False,1
376,Ham,False,False,False,8
377,Ham,False,False,False,5
378,Ham,False,False,False,3
379,Ham,False,False,False,0
380,Ham,False,False,False,11
381,Ham,False,False,False,0
382,Ham,False,False,False,0
383,Ham,False,False,False,1
384,Ham,False,False,False,1
385,Ham,True,False,False,2
386,Ham,False,False,False,2
387,Ham,False,False,False,0
388,Ham,False,False,False,0
389,Ham,False,False,False,2
390,Ham,False,False,False,1
391,Ham,False,False,False,0
392,Ham,False,False,False,2
393,Ham,False,False,False,1
394,Ham,False,False,False,0
395,Ham,False,False,False,6
396,Ham,False,False,False,0
397,Ham,False,False,False,0
398,Ham,False,False,False,0
399,Ham,False,False,False,1
400,Ham,False,False,False,3
401,Ham,False,False,False,2
402,Ham,False,False,False,3
403,Ham,False,False,False,1
404,Ham,False,False,False,0
405,Ham,False,False,False,4
406,Ham,False,False,False,1
407,Ham,False,False,False,1
408,Ham,False,False,False,0
409,Ham,False,False,False,1
410,Ham,False,False,False,1
411,Ham,False,False,False,1
412,Ham,False,False,False,1
413,Ham,False,False,False,0
